"Code","Description CAT","CREATED_BY"
"DC-085","Opportune Maint Overrun","Admin, Admin"
"DC-043","General Repair","Admin, Admin"
"DC-084","Wheel Motor","Admin, Admin"
"DC-083","Wash/Clean","Admin, Admin"
"DC-082","Waiting Parts","Admin, Admin"
"DC-081","Waiting on Facilities","Admin, Admin"
"DC-079","Undercarriage","Admin, Admin"
"DC-080","Waiting Labor","Admin, Admin"
"DC-078","Transmission","Admin, Admin"
"DC-077","Track /Crawler Frames","Admin, Admin"
"DC-076","Torque Converter","Admin, Admin"
"DC-075","Tires & Rims","Admin, Admin"
"DC-074","Switches & Sensors","Admin, Admin"
"DC-073","Swing System","Admin, Admin"
"DC-072","Suspension","Admin, Admin"
"DC-071","Steering System","Admin, Admin"
"DC-070","Shock Absorber","Admin, Admin"
"DC-069","Ropes","Admin, Admin"
"DC-068","Retarder Grid","Admin, Admin"
"DC-066","Power Train","Admin, Admin"
"DC-067","PTO","Admin, Admin"
"DC-065","Power supply","Admin, Admin"
"DC-064","Pneumatic - Tank","Admin, Admin"
"DC-063","Pneumatic - Lines","Admin, Admin"
"DC-062","Pneumatic - Compressor","Admin, Admin"
"DC-061","PM","Admin, Admin"
"DC-060","PCR","Admin, Admin"
"DC-059","Overheating","Admin, Admin"
"DC-058","Other","Admin, Admin"
"DC-057","Operational","Admin, Admin"
"DC-056","Not Available","Admin, Admin"
"DC-055","Mirrors","Admin, Admin"
"DC-054","Mast","Admin, Admin"
"DC-053","Lubrication/Auto lube system","Admin, Admin"
"DC-052","Invertor Cabinet","Admin, Admin"
"DC-050","Hydraulic System (Pumps, hydraulic actuators, hoses, lines, oil coolers, tanks, etc.)","Admin, Admin"
"DC-051","Implements (Tool Wrench, Breakout Wrench)","Admin, Admin"
"DC-049","Hydraulic Cylinder","Admin, Admin"
"DC-048","Hyd System Distribution (Hoses, Lines, Tanks, Coolers)","Admin, Admin"
"DC-047","Hyd System (Pumps & Motors)","Admin, Admin"
"DC-046","Hoist System","Admin, Admin"
"DC-045","GET","Admin, Admin"
"DC-042","Gearcase (Swing, propel, hoist, crowd, pulldown, Rotary)","Admin, Admin"
"DC-044","Generator","Admin, Admin"
"DC-041","Fuel System","Admin, Admin"
"DC-040","Front Wheels","Admin, Admin"
"DC-039","Frame/Chassis/Structures","Admin, Admin"
"DC-038","Fire Suppression","Admin, Admin"
"DC-037","Final Drive","Admin, Admin"
"DC-035","Engine Structures (Cyl. Block, Cyl. Head, Crank, Conn. Rod, Piston, Timing Gears)","Admin, Admin"
"DC-036","Filters","Admin, Admin"
"DC-034","Engine Starting System","Admin, Admin"
"DC-033","Engine Lube System","Admin, Admin"
"DC-032","Engine Inlet / Exhaust (inc. Turbo, Valve Train)","Admin, Admin"
"DC-031","Engine","Admin, Admin"
"DC-030","Electrical System (High voltage)","Admin, Admin"
"DC-029","Electrical System","Admin, Admin"
"DC-028","Dump Body","Admin, Admin"
"DC-027","Drum","Admin, Admin"
"DC-026","Dispatch System","Admin, Admin"
"DC-025","Dipper Trip System","Admin, Admin"
"DC-024","Differential","Admin, Admin"
"DC-023","DEF","Admin, Admin"
"DC-022","Daily Service","Admin, Admin"
"DC-021","Daily Inspection","Admin, Admin"
"DC-020","Crowd System (Rope)","Admin, Admin"
"DC-019","Crowd System (HydraCrowd)","Admin, Admin"
"DC-018","Cooling System","Admin, Admin"
"DC-017","CMD Software","Admin, Admin"
"DC-016","CMD Other","Admin, Admin"
"DC-015","CMD Network","Admin, Admin"
"DC-014","CMD Hardware","Admin, Admin"
"DC-013","CMD Communication - On Board","Admin, Admin"
"DC-012","CMD Communication - Off Board","Admin, Admin"
"DC-011","CMD Calibration","Admin, Admin"
"DC-010","Cab / Operator Station (Cab windshield, seat, window, etc.)","Admin, Admin"
"DC-009","Bucket/Dipper","Admin, Admin"
"DC-008","Brake System","Admin, Admin"
"DC-007","Base Machine (Ladders, hand rails, sheet metal, brackets, other misc.)","Admin, Admin"
"DC-006","Backlogs","Admin, Admin"
"DC-005","Attachment (Boom & Stick)","Admin, Admin"
"DC-004","Air System & Starting","Admin, Admin"
"DC-003","Air Conditioning","Admin, Admin"
"DC-002","Accident Damage","Admin, Admin"
"DC-001","AC Drive Motors","Admin, Admin"